Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:10(<module>)
        1    0.000    0.000    0.003    0.003 markers.py:4(<module>)
       17    0.000    0.000    0.003    0.000 __init__.py:1407(get_metadata_lines)
      321    0.001    0.000    0.003    0.000 component_scene_tilemap.py:111(__init__)
       17    0.000    0.000    0.003    0.000 __init__.py:1401(get_metadata)
       99    0.000    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
       50    0.003    0.000    0.003    0.000 {built-in method nt._isdir}
       18    0.001    0.000    0.003    0.000 enum.py:124(__new__)
       40    0.000    0.000    0.002    0.000 __init__.py:1398(has_metadata)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
     1508    0.001    0.000    0.002    0.000 component_system.py:124(__init__)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
3434/3430    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       64    0.000    0.000    0.002    0.000 __init__.py:1317(safe_version)
     4936    0.002    0.000    0.002    0.000 component_scene_panorama.py:88(getImage)
        6    0.000    0.000    0.002    0.000 enum.py:602(_convert)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
      154    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
       17    0.000    0.000    0.002    0.000 __init__.py:1515(_get)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
      502    0.001    0.000    0.002    0.000 behavior_states.py:284(__init__)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
       48    0.000    0.000    0.002    0.000 __init__.py:2446(__init__)
